id;faculty_id;average_score;students_count;semester;year;created_at
1;1;4.25;120;1;2024;2026-01-31 15:03:18.728774
2;1;4.30;120;2;2024;2026-01-31 15:03:18.728774
3;2;3.95;95;1;2024;2026-01-31 15:03:18.728774
4;2;4.05;95;2;2024;2026-01-31 15:03:18.728774
5;3;4.10;88;1;2024;2026-01-31 15:03:18.728774
6;3;4.15;88;2;2024;2026-01-31 15:03:18.728774
7;4;3.85;105;1;2024;2026-01-31 15:03:18.728774
8;4;3.90;105;2;2024;2026-01-31 15:03:18.728774
9;5;4.00;92;1;2024;2026-01-31 15:03:18.728774
10;5;4.05;92;2;2024;2026-01-31 15:03:18.728774
11;6;3.95;85;1;2024;2026-01-31 15:03:18.728774
12;6;4.00;85;2;2024;2026-01-31 15:03:18.728774
13;7;4.15;78;1;2024;2026-01-31 15:03:18.728774
14;7;4.20;78;2;2024;2026-01-31 15:03:18.728774
15;8;4.05;82;1;2024;2026-01-31 15:03:18.728774
